date,rank,symbol,volume,trade_count,price,logged_at_utc
2026-09-09,1,INTC,140228934.0,1193491.0,104.34,2026-09-09T06:34:17+00:00
2026-09-09,2,NVDA,123873109.0,2405517.0,225.82,2026-09-09T06:34:17+00:00
2026-09-09,3,ATAI,119668579.0,68405.0,7.29,2026-09-09T06:34:17+00:00
2026-09-09,4,NOK,114031873.0,152378.0,10.66,2026-09-09T06:34:17+00:00
2026-09-09,5,SPCX,85893712.0,1030486.0,153.33,2026-09-09T06:34:17+00:00
2026-09-09,6,TSLL,84318263.0,116207.0,9.82,2026-09-09T06:34:17+00:00
2026-09-09,7,NU,75343247.0,131033.0,15.33,2026-09-09T06:34:17+00:00
2026-09-09,8,BITO,75156294.0,32539.0,10.54,2026-09-09T06:34:17+00:00
2026-09-09,9,BNC,69907198.0,566732.0,5.25,2026-09-09T06:34:17+00:00
2026-09-09,10,PCG,66142450.0,153234.0,14.82,2026-09-09T06:34:17+00:00
2026-09-09,11,SNXX,65079391.0,258964.0,17.41,2026-09-09T06:34:17+00:00
2026-09-09,12,PATH,62539144.0,202544.0,14.0,2026-09-09T06:34:17+00:00
2026-09-09,13,SOXS,56644821.0,382469.0,44.05,2026-09-09T06:34:17+00:00
2026-09-09,14,AAL,55042231.0,101190.0,12.94,2026-09-09T06:34:17+00:00
2026-09-09,15,SMR,53902450.0,227068.0,11.18,2026-09-09T06:34:17+00:00
2026-09-09,16,MARA,53463406.0,145707.0,11.82,2026-09-09T06:34:17+00:00
2026-09-09,17,SOXL,52626886.0,819492.0,123.57,2026-09-09T06:34:17+00:00
2026-09-09,18,TSLA,51395101.0,1240229.0,368.18,2026-09-09T06:34:17+00:00
2026-09-09,19,CRWV,51260660.0,525114.0,99.81,2026-09-09T06:34:17+00:00
2026-09-09,20,IREN,50916304.0,441254.0,46.93,2026-09-09T06:34:17+00:00
2026-09-09,21,TQQQ,48306744.0,300944.0,71.92,2026-09-09T06:34:17+00:00
2026-09-09,22,F,46636503.0,150193.0,14.02,2026-09-09T06:34:17+00:00
2026-09-09,23,SPDN,46031870.0,10675.0,8.55,2026-09-09T06:34:17+00:00
2026-09-09,24,EWZ,45861200.0,76964.0,38.62,2026-09-09T06:34:17+00:00
2026-09-09,25,SPY,44819867.0,569085.0,765.82,2026-09-09T06:34:17+00:00
2026-09-09,26,RIG,44087298.0,63986.0,5.77,2026-09-09T06:34:17+00:00
2026-09-09,27,ONDS,42968491.0,104735.0,7.63,2026-09-09T06:34:17+00:00
2026-09-09,28,SMCI,42365923.0,279835.0,40.2,2026-09-09T06:34:17+00:00
2026-09-09,29,RGTI,42240724.0,265805.0,15.82,2026-09-09T06:34:17+00:00
2026-09-09,30,IBIT,42228958.0,117111.0,44.43,2026-09-09T06:34:17+00:00
2026-09-09,31,IONQ,40222044.0,548216.0,40.3,2026-09-09T06:34:17+00:00
2026-09-09,32,SQQQ,40026028.0,107738.0,38.36,2026-09-09T06:34:17+00:00
2026-09-09,33,T,39872611.0,130625.0,25.61,2026-09-09T06:34:17+00:00
2026-09-09,34,ETHA,39841170.0,44131.0,18.73,2026-09-09T06:34:17+00:00
2026-09-09,35,CIFR,39831220.0,202911.0,18.44,2026-09-09T06:34:17+00:00
